id;start_date;end_date;language
1;2019-11-07T22:33:32;2019-11-07T15:41:49;FRENCH
2;2019-11-08T00:03:37;2019-11-07T09:09:47;FRENCH
3;2019-11-07T19:35:42;2019-11-07T10:59:42;FRENCH
4;2019-11-07T08:47:33;2019-11-07T16:14:35;FRENCH
5;2019-11-07T17:46:12;2019-11-07T22:30:21;FRENCH
6;2019-11-08T00:03:12;2019-11-08T01:20:09;FRENCH
7;2019-11-07T09:25:32;2019-11-07T22:06:19;FRENCH
8;2019-11-07T06:56:51;2019-11-07T14:57:00;FRENCH
9;2019-11-07T16:44:57;2019-11-08T01:09:35;FRENCH
10;2019-11-07T20:03:07;2019-11-07T17:19:21;FRENCH
